"DateTime","Aave - Price","Aave - Market Cap","Aave - Fully Diluted Market Cap","Aave - Fees","Aave - Circulating Supply"
"2021-03-18 00:00:00",364.451130324,4534211107.52947,5831218085.184,547122.6757745016,12441908.600907292
"2021-03-19 00:00:00",371.795673634,4626191464.99544,5948730778.144,345402.42370740883,12442234.179562004
"2021-03-20 00:00:00",370.953416792,4637982989.22328,5935254668.672,272436.3375711108,12443967.102632225
"2021-03-21 00:00:00",367.778805365,4569557467.59625,5884460885.84,235285.72937217148,12444338.688717617
"2021-03-22 00:00:00",337.04430774,4216002632.18736,5392708923.84,203690.94998290783,12445706.227786096
"2021-03-23 00:00:00",332.583075981,4118229794.52437,5321329215.696,193351.24946263604,12445965.6913264
"2021-03-24 00:00:00",308.790156397,3860696973.41177,4940642502.351999,242690.38864709545,12457171.872766316
"2021-03-25 00:00:00",325.457296192,4037895917.17111,5207316739.072,203300.44801499942,12457862.116987092
"2021-03-26 00:00:00",359.217908823,4475542257.82285,5747486541.168,178702.33323820186,12458635.307253258
"2021-03-27 00:00:00",350.457772368,4360735480.26872,5607324357.8880005,223305.28874789213,12461391.810050948
"2021-03-28 00:00:00",344.028873948,4279471924.31024,5504461983.168,239029.1447407559,12462495.192310952
"2021-03-29 00:00:00",360.726812392,4494380950.59563,5771628998.272,198275.36453394743,12462778.707523402
"2021-03-30 00:00:00",376.978330298,4683824795.22003,6031653284.768,226536.26803480933,12463502.193893394
"2021-03-31 00:00:00",381.151657631,4772072359.9252,6098426522.096,353617.1053584425,12464070.535406113
"2021-04-01 00:00:00",383.019018453,4793666899.11987,6128304295.248,368569.49295919226,12464291.522258941
"2021-04-02 00:00:00",418.771293992,5246698609.91069,6700340703.872,364900.6958446528,12469234.351611324
"2021-04-03 00:00:00",379.449661834,4766982643.33512,6071194589.344,498418.9270854672,12470089.44410305
"2021-04-04 00:00:00",404.024167846,5041026014.2666,6464386685.536,539949.6148513439,12470958.33258891
"2021-04-05 00:00:00",396.305865055,4930008419.23911,6340893840.88,461968.6249461791,12471347.145258386
"2021-04-06 00:00:00",383.925732218,4798962885.94869,6142811715.488,337921.744140428,12475087.701114343
"2021-04-07 00:00:00",350.275994617,4377197714.56132,5604415913.872,325638.5823360761,12475757.572847525
"2021-04-08 00:00:00",370.594998046,4621898162.2581,5929519968.736,270252.21392436477,12476336.580425471
"2021-04-09 00:00:00",359.300919564,4491847737.21345,5748814713.024,251569.97882991374,12478653.951162685
"2021-04-10 00:00:00",367.694766505,4585664294.41239,5883116264.08,358573.7489733882,12479211.893001137
"2021-04-11 00:00:00",370.511424674,4591537316.90071,5928182794.784,440667.1834128448,12481859.91809595
"2021-04-12 00:00:00",396.940179978,4945119196.70478,6351042879.648,362029.17545566114,12485430.671034016
"2021-04-13 00:00:00",399.078476294,4979026705.72025,6385255620.7039995,365435.1402501914,12486307.89404521
"2021-04-14 00:00:00",428.389840308,5345563349.83882,6854237444.9279995,416110.1074012955,12487080.696678724
"2021-04-15 00:00:00",467.73461703,5839458039.14415,7483753872.48,578386.655973722,12489952.1040004
"2021-04-16 00:00:00",441.500874045,5524961581.06208,7064013984.72,571191.6219178535,12490542.12291044
