"DateTime","Morpho - Price","Morpho - Market Cap","Morpho - Fully Diluted Market Cap","Morpho - Fees","Morpho - Circulating Supply"
"2024-05-14 00:00:00",,,,159557,
"2024-05-15 00:00:00",,,,174332,
"2024-05-16 00:00:00",,,,149365,
"2024-05-17 00:00:00",,,,145212,
"2024-05-18 00:00:00",,,,147741,
"2024-05-19 00:00:00",,,,198791,
"2024-05-20 00:00:00",,,,220358,
"2024-05-21 00:00:00",,,,176331,
"2024-05-22 00:00:00",,,,128383,
"2024-05-23 00:00:00",,,,158618,
"2024-05-24 00:00:00",,,,160534,
"2024-05-25 00:00:00",,,,163240,
"2024-05-26 00:00:00",,,,129928,
"2024-05-27 00:00:00",,,,208386,
"2024-05-28 00:00:00",,,,210401,
"2024-05-29 00:00:00",,,,171456,
"2024-05-30 00:00:00",,,,166870,
"2024-05-31 00:00:00",,,,220398,
"2024-06-01 00:00:00",,,,145405,
"2024-06-02 00:00:00",,,,224591,
"2024-06-03 00:00:00",,,,264086,
"2024-06-04 00:00:00",,,,253936,
"2024-06-05 00:00:00",,,,236210,
"2024-06-06 00:00:00",,,,230679,
"2024-06-07 00:00:00",,,,211753,
"2024-06-08 00:00:00",,,,179952,
"2024-06-09 00:00:00",,,,223347,
"2024-06-10 00:00:00",,,,204554,
"2024-06-11 00:00:00",,,,177747,
"2024-06-12 00:00:00",,,,167839,
"2024-06-13 00:00:00",,,,199114,
"2024-06-14 00:00:00",,,,240588,
"2024-06-15 00:00:00",,,,188729,
"2024-06-16 00:00:00",,,,179951,
"2024-06-17 00:00:00",,,,216359,
"2024-06-18 00:00:00",,,,184500,
"2024-06-19 00:00:00",,,,168829,
"2024-06-20 00:00:00",,,,223220,
"2024-06-21 00:00:00",,,,170781,
"2024-06-22 00:00:00",,,,225704,
"2024-06-23 00:00:00",,,,145934,
"2024-06-24 00:00:00",,,,189783,
"2024-06-25 00:00:00",,,,173957,
"2024-06-26 00:00:00",,,,130905,
"2024-06-27 00:00:00",,,,176810,
"2024-06-28 00:00:00",,,,146682,
"2024-06-29 00:00:00",,,,123482,
"2024-06-30 00:00:00",,,,110123,
"2024-07-01 00:00:00",,,,210122,
"2024-07-02 00:00:00",,,,126476,
"2024-07-03 00:00:00",,,,163655,
"2024-07-04 00:00:00",,,,139481,
"2024-07-05 00:00:00",,,,152068,
"2024-07-06 00:00:00",,,,129550,
"2024-07-07 00:00:00",,,,146774,
"2024-07-08 00:00:00",,,,97662,
"2024-07-09 00:00:00",,,,179674,
"2024-07-10 00:00:00",,,,126941,
"2024-07-11 00:00:00",,,,108560,
"2024-07-12 00:00:00",,,,121769,
"2024-07-13 00:00:00",,,,103616,
"2024-07-14 00:00:00",,,,189590,
"2024-07-15 00:00:00",,,,112733,
"2024-07-16 00:00:00",,,,155218,
"2024-07-17 00:00:00",,,,155615,
"2024-07-18 00:00:00",,,,132518,
"2024-07-19 00:00:00",,,,126500,
"2024-07-20 00:00:00",,,,127785,
"2024-07-21 00:00:00",,,,115326,
"2024-07-22 00:00:00",,,,164493,
"2024-07-23 00:00:00",,,,101430,
"2024-07-24 00:00:00",,,,152934,
"2024-07-25 00:00:00",,,,163863,
"2024-07-26 00:00:00",,,,119238,
"2024-07-27 00:00:00",,,,129642,
"2024-07-28 00:00:00",,,,122838,
"2024-07-29 00:00:00",,,,221241,
"2024-07-30 00:00:00",,,,154352,
"2024-07-31 00:00:00",,,,158310,
"2024-08-01 00:00:00",,,,116833,
"2024-08-02 00:00:00",,,,127635,
"2024-08-03 00:00:00",,,,134642,
"2024-08-04 00:00:00",,,,152664,
"2024-08-05 00:00:00",,,,148483,
"2024-08-06 00:00:00",,,,94356,
"2024-08-07 00:00:00",,,,120595,
"2024-08-08 00:00:00",,,,93947,
"2024-08-09 00:00:00",,,,124605,
"2024-08-10 00:00:00",,,,100971,
"2024-08-11 00:00:00",,,,104693,
"2024-08-12 00:00:00",,,,95542,
"2024-08-13 00:00:00",,,,98005,
"2024-08-14 00:00:00",,,,91309,
"2024-08-15 00:00:00",,,,80337,
"2024-08-16 00:00:00",,,,71209,
"2024-08-17 00:00:00",,,,117474,
"2024-08-18 00:00:00",,,,69830,
"2024-08-19 00:00:00",,,,122898,
"2024-08-20 00:00:00",,,,84633,
"2024-08-21 00:00:00",,,,75338,
"2024-08-22 00:00:00",,,,117919,
"2024-08-23 00:00:00",,,,117246,
"2024-08-24 00:00:00",,,,92006,
"2024-08-25 00:00:00",,,,69684,
"2024-08-26 00:00:00",,,,125815,
"2024-08-27 00:00:00",,,,116731,
"2024-08-28 00:00:00",,,,72885,
"2024-08-29 00:00:00",,,,99329,
"2024-08-30 00:00:00",,,,74090,
"2024-08-31 00:00:00",,,,75545,
"2024-09-01 00:00:00",,,,82088,
"2024-09-02 00:00:00",,,,145677,
"2024-09-03 00:00:00",,,,111976,
"2024-09-04 00:00:00",,,,102546,
"2024-09-05 00:00:00",,,,89428,
"2024-09-06 00:00:00",,,,74179,
"2024-09-07 00:00:00",,,,99362,
"2024-09-08 00:00:00",,,,78956,
"2024-09-09 00:00:00",,,,136723,
"2024-09-10 00:00:00",,,,78446,
"2024-09-11 00:00:00",,,,53504,
"2024-09-12 00:00:00",,,,97933,
"2024-09-13 00:00:00",,,,99058,
"2024-09-14 00:00:00",,,,72929,
"2024-09-15 00:00:00",,,,116324,
"2024-09-16 00:00:00",,,,83076,
"2024-09-17 00:00:00",,,,97871,
"2024-09-18 00:00:00",,,,94689,
"2024-09-19 00:00:00",,,,118221,
"2024-09-20 00:00:00",,,,120644,
"2024-09-21 00:00:00",,,,140643,
"2024-09-22 00:00:00",,,,136206,
"2024-09-23 00:00:00",,,,108522,
"2024-09-24 00:00:00",,,,82541,
"2024-09-25 00:00:00",,,,141523,
"2024-09-26 00:00:00",,,,256333,
"2024-09-27 00:00:00",,,,89419,
"2024-09-28 00:00:00",,,,109511,
"2024-09-29 00:00:00",,,,135287,
"2024-09-30 00:00:00",,,,143594,
"2024-10-01 00:00:00",,,,128417,
"2024-10-02 00:00:00",,,,103933,
"2024-10-03 00:00:00",,,,138517,
"2024-10-04 00:00:00",,,,75271,
"2024-10-05 00:00:00",,,,81932,
"2024-10-06 00:00:00",,,,109082,
"2024-10-07 00:00:00",,,,101615,
"2024-10-08 00:00:00",,,,157385,
"2024-10-09 00:00:00",,,,70276,
"2024-10-10 00:00:00",,,,148324,
"2024-10-11 00:00:00",,,,104970,
"2024-10-12 00:00:00",,,,64210,
"2024-10-13 00:00:00",,,,95127,
"2024-10-14 00:00:00",,,,113309,
"2024-10-15 00:00:00",,,,94975,
"2024-10-16 00:00:00",,,,129472,
"2024-10-17 00:00:00",,,,95098,
"2024-10-18 00:00:00",,,,55834,
"2024-10-19 00:00:00",,,,100889,
"2024-10-20 00:00:00",,,,92995,
"2024-10-21 00:00:00",,,,77507,
"2024-10-22 00:00:00",,,,92659,
"2024-10-23 00:00:00",,,,83215,
"2024-10-24 00:00:00",,,,95231,
"2024-10-25 00:00:00",,,,149962,
"2024-10-26 00:00:00",,,,96640,
"2024-10-27 00:00:00",,,,141020,
"2024-10-28 00:00:00",,,,174742,
"2024-10-29 00:00:00",,,,152638,
"2024-10-30 00:00:00",,,,190264,
"2024-10-31 00:00:00",,,,134772,
"2024-11-01 00:00:00",,,,185517,
"2024-11-02 00:00:00",,,,184586,
"2024-11-03 00:00:00",,,,167371,
"2024-11-04 00:00:00",,,,133303,
"2024-11-05 00:00:00",,,,162430,
"2024-11-06 00:00:00",,,,158943,
"2024-11-07 00:00:00",,,,151027,
"2024-11-08 00:00:00",,,,123516,
"2024-11-09 00:00:00",,,,134180,
"2024-11-10 00:00:00",,,,167681,
"2024-11-11 00:00:00",,,,222616,
"2024-11-12 00:00:00",,,,217509,
"2024-11-13 00:00:00",,,,215196,
"2024-11-14 00:00:00",,,,237405,
"2024-11-15 00:00:00",,,,196404,
"2024-11-16 00:00:00",,,,224275,
"2024-11-17 00:00:00",,,,234215,
"2024-11-18 00:00:00",,,,191628,
"2024-11-19 00:00:00",,,,238260,
"2024-11-20 00:00:00",1.268028191,0,1268028191,255147,
"2024-11-21 00:00:00",0.9788150974,0,978815097.4,251586,67833383.975579
"2024-11-22 00:00:00",0.9479043175,0,947904317.5,233249,119916005.984222
"2024-11-23 00:00:00",0.8277381163,0,827738116.3000001,313283,121139733.732014
"2024-11-24 00:00:00",0.7532442245,0,753244224.5,337921,121348561.538953
"2024-11-25 00:00:00",0.9447306162,113675371.819398,944730616.1999999,279093,121747924.162319
"2024-11-26 00:00:00",1.221796618,152896750.674247,1221796618,296818,123839925.946845
"2024-11-27 00:00:00",1.647864457,217797310.187544,1647864457,349524,122341317.878757
"2024-11-28 00:00:00",1.249127362,165579019.477061,1249127362,337808,132592337.44237
"2024-11-29 00:00:00",1.277332558,170001729.925563,1277332558,411073,133510848.306783
"2024-11-30 00:00:00",1.540381854,203389214.851573,1540381854,503419,131773663.479667
"2024-12-01 00:00:00",1.379014075,182160021.569849,1379014075,390659,132055740.368076
"2024-12-02 00:00:00",1.362109958,180094807.076754,1362109958,407958,132259170.495609
"2024-12-03 00:00:00",1.525565692,205922163.525992,1525565692,518580,132400408.812677
"2024-12-04 00:00:00",1.630563779,222085772.874128,1630563779,462728,134695796.004956
"2024-12-05 00:00:00",2.398931667,332831471.064564,2398931667,489665,138268925.098393
"2024-12-06 00:00:00",2.319018768,323451030.639239,2319018768,483491,138920317.058018
"2024-12-07 00:00:00",2.223740114,331128900.757472,2223740114,433158,139634509.1549
"2024-12-08 00:00:00",2.112957997,313997333.135567,2112957997,574313,147432159.176552
"2024-12-09 00:00:00",1.748220385,260690265.917037,1748220385,506689,148409521.115458
"2024-12-10 00:00:00",2.135232339,318507082.486675,2135232338.9999998,540647,148963464.499265
"2024-12-11 00:00:00",2.270467118,338635349.74666,2270467118,585347,149205615.451198
"2024-12-12 00:00:00",2.475082741,373627400.830429,2475082741,555074,151747371.22284
"2024-12-13 00:00:00",2.962039247,450214587.141647,2962039247,492968,151757956.167763
"2024-12-14 00:00:00",2.676046625,406772457.419038,2676046625,471531,151822650.538758
"2024-12-15 00:00:00",2.84996384,434920880.577306,2849963840,506755,151846085.136848
"2024-12-16 00:00:00",2.691648128,409901729.805535,2691648128,544834,151906977.472712
"2024-12-17 00:00:00",2.624093851,400633648.054223,2624093851,555775,152012844.04021
"2024-12-18 00:00:00",2.794301869,428738447.033605,2794301869,549337,152480300.87746
"2024-12-19 00:00:00",2.452685395,379477853.950836,2452685395,769481,154264320.247886
"2024-12-20 00:00:00",2.790036878,430959254.273538,2790036878,691790,154312714.14177
"2024-12-21 00:00:00",2.270177529,350757028.437883,2270177529,526869,154383016.796518
"2024-12-22 00:00:00",2.257991566,349079999.779735,2257991566,579013,154414387.131873
"2024-12-23 00:00:00",2.761130118,427647668.936121,2761130118,615203,154418753.997982
"2024-12-24 00:00:00",2.788358674,430521850.852393,2788358674,625589,154586307.350401
"2024-12-25 00:00:00",3.062682742,474650019.741048,3062682742,686611,154665458.765405
"2024-12-26 00:00:00",2.925064237,454741852.700392,2925064237,668495,154853196.935017
"2024-12-27 00:00:00",3.02407969,467945226.301978,3024079690,647755,154862048.000509
"2024-12-28 00:00:00",3.037606004,479870370.888814,3037606004,529957,157416077.463184
"2024-12-29 00:00:00",2.839668581,447143211.86615,2839668581,639956,157442937.280492
"2024-12-30 00:00:00",2.95829086,471362931.91124,2958290860,594485,159411255.939493
"2024-12-31 00:00:00",3.4800747,568051272.469365,3480074700,610174,162640343.889735
"2025-01-01 00:00:00",3.365013927,548772906.660276,3365013927,603634,162640535.392639
"2025-01-02 00:00:00",3.285447312,536089351.200054,3285447312,580528,163104018.327717
"2025-01-03 00:00:00",3.275746519,534608939.397008,3275746519,624090,163234176.704206
"2025-01-04 00:00:00",3.346554104,546571368.38673,3346554104,659554,163241044.755483
"2025-01-05 00:00:00",3.579627569,587117896.428447,3579627569,644311,163391284.602117
"2025-01-06 00:00:00",3.291241024,544619812.368364,3291241024,673593,163441939.385065
"2025-01-07 00:00:00",3.287561414,544462613.236719,3287561414,646745,165435629.067602
"2025-01-08 00:00:00",3.408147861,563910282.652367,3408147861,678741,165436178.183248
"2025-01-09 00:00:00",2.987476683,495296445.143342,2987476683,627858,165599966.754331
"2025-01-10 00:00:00",2.731088544,453038228.157613,2731088544,1000387,165774706.508702
"2025-01-11 00:00:00",2.74003801,454314549.522914,2740038010,990260,165780937.636964
"2025-01-12 00:00:00",2.616741537,434536866.251461,2616741537,604584,166002684.908908
"2025-01-13 00:00:00",2.473742907,409259742.391836,2473742907,608198,166009270.137594
"2025-01-14 00:00:00",2.458577508,409014552.557199,2458577508,558839,166020499.448538
"2025-01-15 00:00:00",3.050884186,506963765.722284,3050884186,561792,166145246.570269
"2025-01-16 00:00:00",3.676459855,624695617.135914,3676459855,597014,170527004.440024
"2025-01-17 00:00:00",3.912588543,675249674.509097,3912588543,521293,170527075.71259
"2025-01-18 00:00:00",3.932751083,678900834.166306,3932751083,617276,172510113.369796
"2025-01-19 00:00:00",3.424872757,591357762.370339,3424872757,665385,172625751.178491
"2025-01-20 00:00:00",3.268701882,564482030.770437,3268701882,651086,172665615.416431
"2025-01-21 00:00:00",3.300100289,712619586.987768,3300100289,574707,216881896.983638
"2025-01-22 00:00:00",3.314460213,720176753.456104,3314460213,562818,216909119.362405
"2025-01-23 00:00:00",3.298703176,716112295.443021,3298703176,563340,216909616.930993
"2025-01-24 00:00:00",3.287001472,712634353.829977,3287001472,555621,217008878.615601
"2025-01-25 00:00:00",2.922063196,634088631.991278,2922063196,568643,217022921.1285
"2025-01-26 00:00:00",2.995669264,647996220.083758,2995669264,469272,217047352.440524
